episode,return,length,critic_loss
703,878.688827,1000,397.22833251953125
704,-19.597527,801,1145.506103515625
705,-940.860476,303,2791.404541015625
706,-735.004032,414,1081.530517578125
707,89.960915,863,357.287841796875
708,195.009013,950,1372.57470703125
709,902.124695,1000,1182.86767578125
710,-140.886441,754,1031.301513671875
711,1368.100577,1000,1189.623779296875
712,201.436823,947,621.7557373046875
713,-756.329837,410,293.58648681640625
714,-5.917972,797,814.1748046875
715,-1039.038759,262,555.1094970703125
716,-458.175076,592,998.1270751953125
717,-617.942896,475,688.3541259765625
718,-506.489324,551,1069.7750244140625
719,-409.94267,590,1495.24462890625
720,-817.918266,381,502.484619140625
721,-633.96805,462,1341.0625
722,-575.397758,501,584.1376953125
723,76.648443,838,891.466064453125
724,-457.833951,559,722.363037109375
725,-850.491178,366,682.6162719726562
726,-991.778743,279,1466.6724853515625
727,293.577119,971,745.1312866210938
728,-1168.677011,192,656.297607421875
729,233.390539,943,1111.5875244140625
730,-334.95792,615,599.0606689453125
731,-552.868965,544,1053.640380859375
732,-152.023138,758,451.16131591796875
733,-669.653711,438,366.36767578125
734,-488.912722,551,617.5264892578125
735,-544.619458,554,575.4581909179688
736,-601.197889,510,447.4039306640625
737,-235.380392,682,356.78302001953125
738,-995.980208,273,610.593017578125
739,-155.293234,745,311.9889221191406
